,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
1,1309.090909090909,apartment,Mataderos,55.0,55.0,2.0,0
3,3066.666666666666,apartment,Belgrano,45.0,40.0,1.0,0
4,3000.0,apartment,Belgrano,65.0,60.0,2.0,0
5,2234.0,apartment,Palermo Soho,50.0,30.0,3.0,0
6,3521.4285714285716,apartment,Palermo Soho,42.0,31.0,1.0,0
8,3365.384615384615,apartment,Palermo,104.0,96.0,3.0,0
9,2292.372881355933,apartment,Palermo,118.0,73.0,4.0,0
10,1744.186046511628,apartment,Flores,43.0,43.0,2.0,0
11,1812.5,apartment,Boedo,80.0,77.0,4.0,0
12,2181.818181818182,apartment,Las Cañitas,220.0,130.0,3.0,1
14,1702.127659574468,apartment,Balvanera,141.0,124.0,5.0,0
15,2200.0,apartment,Caballito,50.0,50.0,3.0,0
16,1705.0,apartment,Caballito,100.0,46.0,2.0,0
17,2721.1111111111113,apartment,Caballito,81.0,75.0,3.0,0
18,2750.3703703703704,apartment,Caballito,81.0,75.0,3.0,0
19,1542.857142857143,apartment,Caballito,70.0,67.0,3.0,0
20,3460.0,apartment,Nuñez,50.0,50.0,2.0,0
23,2198.0,apartment,Almagro,50.0,40.0,2.0,0
31,1938.7755102040808,apartment,Recoleta,196.0,196.0,7.0,0
34,1757.142857142857,apartment,Villa Crespo,42.0,39.0,1.0,0
35,1636.3636363636365,apartment,Villa Crespo,44.0,41.0,1.0,0
36,3455.8823529411766,apartment,Las Cañitas,68.0,48.0,2.0,0
37,4210.526315789473,apartment,Belgrano,57.0,54.0,2.0,1
40,3437.5,apartment,Belgrano,160.0,150.0,4.0,0
42,1878.7878787878788,apartment,Villa Crespo,33.0,31.0,1.0,0
43,3548.3870967741937,apartment,Belgrano,310.0,300.0,5.0,0
44,3447.753623188406,apartment,Belgrano,69.0,53.0,1.0,0
45,3447.753623188406,apartment,Belgrano,69.0,53.0,1.0,0
46,1523.0769230769226,apartment,Flores,65.0,62.0,3.0,0
48,3469.696969696969,apartment,Nuñez,66.0,59.0,2.0,1
